,Unnamed: 0,asin,product,date,verified,title,desc,reviewer_name,rating
10,10,B08268F6XN,Size: AA,"June 8, 2020",Not Verified,"
Excellent rechargable battery that saved me money in 1 month
","

  Product works great, LOVE the built in charge indicator. Replaced all the batteries in my high use items: remotes, CHILD'S TOYS, xbox controllers and bathroom scale. Within the first month I saved on disposables.

",KDB,5.0
11,11,B08268F6XN,Size: AA,"June 3, 2020",Verified Purchase,"
4 stars! Great product, great company communication, a tad pricey, but rechargeable!
","

  4 stars! Great product, great company communication, a tad pricey, but rechargeable so I don't have to constantly buy batteries!I love the usb charger, built-in very convenient. Came with charging cable too!Only issue was delivery from Amazon fulfilment, sent the wrong size - a mislabeled box... not really anyone's fault.Company was amazing at communicating to make it right! Sent the correct size, all good.

",Amazon Customer,4.0
12,12,B08267BBJT,Size: AAA,"June 2, 2020",Verified Purchase,"
Best purchase I've made
","

  I like that I no longer have to buy batteries again. I've already saved money by purchasing rechargeable batteries. I told several friends they ordered them as well.

",WOW,5.0
13,13,B08267BBJT,Size: AAA,"June 2, 2020",Verified Purchase,"
Great product, slightly to short positive terminal
","

  These are great replacements for aaa batteries.  I use them in a Bluetooth mouse, and they have outlasted the batteries I used before.  Only problem is that the positive terminal doesn’t quite stick out far enough to make a connection without modifying (extending) the spring contact point.

",Scott,5.0
14,14,B08267BBJT,Size: AAA,"June 1, 2020",Verified Purchase,"
Great batteries.
","

  Great value for the money.  I bought these because I'm tired of throwing away batteries and with all the work from home I've been doing, I needed a rechargeable option for my keyboard, mouse, and game controllers.  These batteries have been great- easy to use and charge.  The LED lights on the batteries indicating charge status is awesome and the 4 in 1 USB charging cable is great.  Overall I'm very happy with the purchase and so far the charge seems to be as good or better than my Duracell disposables.

",Tammy C. Oshima-burton,5.0
15,15,B08267BBJT,Size: AAA,"May 29, 2020",Verified Purchase,"
Portable / rechargeable / ready to use
","

  Great product, use it for my head lamp.

",Charles Woody,5.0
16,16,B08267BBJT,Size: AAA,"May 26, 2020",Verified Purchase,"
I like these.
","

  Very convenient charge. If you're anything like me a frequently forget to turn your noise cancelling headphones off, having rechargeable batteries is v nice.

",Amazon Customer,5.0
17,17,B08267BBJT,Size: AAA,"May 19, 2020",Verified Purchase,"
Good for low drain devices
","

  Should be better in long run, but nimi batteries last a lot longer but only have 1.2v these have a true 1.5v

",MrNoNameMan?,5.0
18,18,B08268F6XN,Size: AA,"May 6, 2020",Verified Purchase,"
Convenient for keeping wireless devices from having downtime.
","

  I really like these. I haven't been able to test them long term yet, but these are extremely convenient for cycling batteries through my wireless Apple keyboard and mouse. They last just as long as any other battery I've used. I really have no complaints, which isn't something I can say for everything I've purchased during quarantine boredom Amazon shopping.

",Clint G,5.0
19,19,B08267BBJT,Size: AAA,"April 26, 2020",Verified Purchase,"
Will buy again
","

  Quick charge - use for kids Xbox controllers, they can tell when fully charged

",Tbear44m,5.0
20,20,B08267BBJT,Size: AAA,"April 22, 2020",Verified Purchase,"
Fancy tech, doesn't stay charged long.
","

  I love the idea of rechargable and this was one of the few lithium ion ones that are rechargable individually by USB.  It was hard to compare to normal ni-cad rechargable but these seemed more environmentally friendly.  The form factor and convenience are real. The biggest disappointment is the length of time they last.  I use a generic Bluetooth mouse.  Previously I used non-rechargeable Amazon basic batteries. They lasted about 2-3 weeks being used about 9 hrs a day for work.  These batteries last about 2 days for the same use.  The other difference is the normal batteries would slowly die and the mouse cursor would slow down or glitch.  These die instantly. I guess that's the lithium ion experience.  I.e. like your cell phone.  Not sure I would buy these again for something that is more critical for power or harder to change the batteries.  I can't compare to other lithium ion.

",Adam D,3.0
21,21,B08268F6XN,Size: AA,"April 21, 2020",Not Verified,"
Quick Charging!
","

  I have a couple of kids, and we use a ton of batteries with remote control cars and all the other kid stuff! We also camp a lot, so I have several headlamps that I am continually changing batteries in. These batteries are great! They charge so much faster than others that I have used and can charge them in my truck if need be! The USB charging is fantastic, and I am very happy with the product!

",jeff earl,5.0
22,22,B08267BBJT,Size: AAA,"April 15, 2020",Verified Purchase,"
Made well and long lasting!
","

  These batteries are worth it! Saving the planet, plus I know I’ll always have a fresh set of batteries for my precious tv remote! I also like how you can tell if they are fully charged or not by the red/green light. They seem to last just as long as normal batteries, if not a little longer.

",Bailey N.,5.0
23,23,B08268F6XN,Size: AA,"April 8, 2020",Verified Purchase,"
Great for Xbox controllers!
","

  I bought these as a replacement for my plug and play battery packs and I have really been impressed with the longevity of each charge.  Plan to buy another set for my other two controllers as well.

",Brien Kennedy,5.0
24,24,B08267BBJT,Size: AAA,"March 30, 2020",Verified Purchase,"
Beware! My order was incomplete
","

  The batteries arrived, but without the advertised charging unit. Doesn't do any good to have rechargeable batteries without the charger...  Hopefully, the company will see this, and do the right thing. If so, then I'll advise people that they did. Look for an update....3/30/2020W.

",Waneiac,1.0
25,25,B08267BBJT,Size: AAA,"March 22, 2020",Verified Purchase,"
Great for everyday
","

  Got this for my wireless keyboard and mouse. Works perfect. Charged quickly and was ready to go. Love the USB charging.

",Kristin Milam,5.0
26,26,B08267BBJT,Size: AAA,"March 21, 2020",Verified Purchase,"
Strong thoughtful battery product
","

  Great quality battery. Yes, it recharges but you won't need to all the time. I've been using these in: wireless freezer and refrigerator temperature sensors, OTC tens unit, flashlights and heated jacket. Really impressed witht the device's design and utility. Strong OTB fittings on one side and USB on the other. The adapter is clever device to have on my workbench too. I've been using these for a few months now and have no issues to report. I recommend

",rmcconn2003,5.0
27,27,B08268F6XN,Size: AA,"March 3, 2020",Verified Purchase,"
Regular rechargeables work just the same
","

  We purchased to use in some baby items where we felt regular rechargeable batteries weren't lasting very long because the devices are used so much. The description stated these Lithium ion batteries would last longer between charges than regular rechargeable batteries but we didn't see that was the case. The design is neat where each battery lights up during charging but you're not gaining any use spending the higher cost in these.

",john mcfate,3.0
28,28,B08268F6XN,Size: AA,"February 14, 2020",Verified Purchase,"
Kind of pricey, but great batteries
","

  These batteries are great, so far I haven't had any problems with them, I've had them for about a month now, I will continue to use them and after some time passes, I will come back and edit this review to let everyone know how the batteries Fair after extensive use.

",Leo,5.0
29,29,B08268F6XN,Size: AA,"February 5, 2020",Verified Purchase,"
Awesome!
","

  These are great! They recharge by USB, making it so convenient. And they come with a little carrying case too!

",Renee,5.0
30,30,B08267BBJT,Size: AAA,"January 30, 2020",Verified Purchase,"
A fast recharging AAA battery with solid power
","

  Got these to use for my headlamp which  I use almost daily and go through tons of alkaline batteries which are really useless when they are half way through the discharge.  These gave me over 2 hrs of bright white light continuous!.  The PaleBlue batteries are easy to recharge and mine did in under an hour.

",lang,5.0
31,31,B08268F6XN,Size: AA,"January 30, 2020",Verified Purchase,"
A very powerful AA Lithium Battery with a quick recharge cycle.
","

  Looking for a AA battery with a straight line power discharge to end of charge of 4.5 volts and quick recharge time I decided to try these batteries.  They so far have exceeded my expectations. Using them in an acoustic electric guitar pre amplifier I have gotten up to 5 hrs and voltage has only dropped to 4.4 Volts. With power of 2.25 Watt Hours and 1560 mAh along with sustained voltage to to end of charge, they have by far exceeded my expectations over any alkaline I have used. I am buying more as backups and to replace many other alkalines

",lang,5.0
32,32,B08268F6XN,Size: AA,"January 25, 2020",Verified Purchase,"
Love these Rechargeable Batteries
","

  Love these batteries! We've been trying to move away from traditional batteries and this is exactly what we've been looking for.I like how easy they are to charge (fully charged in a couple hours) and use. The covering is smooth and the product is sleek and super easy to use.These batteries seem to power things brighter than our old batteries too. I love the small charging port (the top twists to keep out dust while using or storing) and the red and green light ring that lets you know if they're charged or not.I definitely plan on buying more of these to phase our old batteries out completely. I highly recommend!!

",Trisha C.,5.0
33,33,B08268F6XN,Size: AA,"January 25, 2020",Verified Purchase,"
Want to like them.
","

  I ordered with high hopes, and first set came with one battery that didn't hold a charge.  The others that did charged rather quickly (about 2 hours) and I used a set in my Xbox One controller.  It lasted about that same time as regular batteries, which is awesome.  Had to send those back, as a replacement was sent to me because of the one defective battery.  I kept the two that I knew worked well, and took two others as a replacement and sent the old ones back. The two original are still working fine (on second charge and still lasting just as long), but I received yet another dud.  This time, the battery seems to charge (I receive a green light indicating full charge), but it conks out after a few minutes. So, at this time, it seems the batteries are unreliable, which is a shame, because when they work, they seem to work really well.  But at this time, it seems to be a gamble whether you get 4 good batteries, or just a couple and a couple of duds. As it is now, I have to send all 4 back for a refund (they won't replace them this time).  I really want to like these batteries.  There are other AA USB charging batteries out there, maybe I'll have better luck with them.

",J. Kaufman,2.0
34,34,B08268F6XN,Size: AA,"January 23, 2020",Verified Purchase,"
Easy Charging
","

  Easy charging via any USB-A charger.

",arpch01,4.0
35,35,B08268F6XN,Size: AA,"January 18, 2020",Verified Purchase,"
Strong and well built lithium ion rechargable battery
","

  Always looking for stronger rechargable batteries for my tens unit. Typical lithium ion rechargable battery is drained after 3 hours. These batteries last about 5 hours. I've only been using them for a week. Can't wait to see how they hold up over time. Cool package, case, USB charger chord and OTB plug into the side of the battery, which is well built and rigid!

",rmcconn2003,5.0
36,36,B079JFK22D,Size: AA 4 Pack,"August 20, 2020",Verified Purchase,"
cool
","

  different but so cool

",Sharon Hayworth,5.0
37,37,B079JFK22D,Size: AA 4 Pack,"August 18, 2020",Verified Purchase,"
I only got half what I paid for
","

  I thought I ordered 4 usb rechargeable AA batteries. I ended up getting two rechargeable, and two blue no name lithium batteries. One of the blue no name batteries was also dead. I don’t know what kind of deal this is. Not what I paid for.

",Christopher Dias,1.0
38,38,B079JFK22D,Size: AA 4 Pack,"August 9, 2020",Verified Purchase,"
Charging time faster than expected
","

  Charged up just fine

",William B.,5.0
39,39,B079JFK22D,Size: AA 4 Pack,"August 6, 2020",Verified Purchase,"
Don't know if these Batts are working right
","

  The company stated..... ""ONE HOUR CHARGING TIME - Fully charged in less than 2 hours, more efficient and energy-saving. LED indicator will turn on red when in charge, and turn out after fully charged"" Mine flash blue for about 2 hrs. And then turn solid blue after that. Maybe defective? Ran my scanner for about 6 hrs. But so far I have seen no red light.Later..... I found out 1 of the batteries is defective, guess I'm returning them.

",Radio53,1.0
40,40,B079JFK22D,Size: AA 4 Pack,"July 27, 2020",Verified Purchase,"
Poor quality. Unable to hold charge.
","

  Poor quality. Broke on second recharge. First recharge did not last longer. Better to look for quality products from renowned company.

",FNU SHANTANU,1.0
41,41,B079JFK22D,Size: AA 4 Pack,"July 24, 2020",Verified Purchase,"
14g. The weight is great! My wrist is happier.
","

  I got these to lighten my mouse. I also got their AAA...less stress on my hand. My mouse requires 2 AAsSo far so good!

",J Esky,5.0
42,42,B079JFK22D,Size: AA 4 Pack,"July 17, 2020",Verified Purchase,"
Love them
","

  These are simoly great, I use them on everything, no issues, just use, recharge, re-use.

",Ricardo Cruz,5.0
43,43,B079JFK22D,Size: AA 4 Pack,"July 12, 2020",Verified Purchase,"
Purchased many times. Wish they had been around sooner
","

  These are one of my favorite things that I’ve bought recently. I wish they were around sooner. They combine the convenience of old-school batteries and the ease of USB charging. Very reliable. Futuristic item. Everyone I show them to loves them. Highly recommend.

",A Q,5.0
44,44,B079JFK22D,Size: AA 4 Pack,"July 11, 2020",Verified Purchase,"
Trade charge life for recharge ease
","

  The batteries do not last as long on a single charge as an alkaline, but they are VERY easily recharged.  Great for my wireless keyboard and mouse.

",DSH,4.0
45,45,B079JFK22D,Size: AA 4 Pack,"July 3, 2020",Verified Purchase,"
I have reorder more
","

  We are pleased with this product and ordered more

",Drevik,5.0
46,46,B079JFK22D,Size: AA 4 Pack,"July 1, 2020",Verified Purchase,"
Great!
","

  They work great and charge quickly. Definitely buying more, already bought a 2nd set. Great for remotes and last for a while.

",H.B.,5.0
47,47,B079JFK22D,Size: AA 4 Pack,"June 30, 2020",Verified Purchase,"
Better than I expected -- WAIT! Update!
","

  Update:  After leaving review, My right controller went dead a few weeks later. I switched out the batteries, and it still didn't work. I reset my headset, figuring it must be a hardware issue, but discovered that one of the rechargeable batteries does not recharge. So I have one useless battery. However, the rest are fine. I will update again if I have more issues, but I'm dropping my review to three stars... one for each useful battery.I read the reviews, so I've been super careful removing the tops so they do not break. No problems for me at all.  All four batteries came charged. I popped them into my Oculus Quest controllers, and they have gone through three gaming sessions so far without any issues, and no need to change them out yet. I will leave this review five stars, unless I find that they do not recharge after the initial use. Right now, though, I am quite tickled with them.

",Amazon Customer,3.0
48,48,B079JFK22D,Size: AA 4 Pack,"June 30, 2020",Verified Purchase,"
Great
","

  These are pretty good. I used them for Xbox controller and last longer than the battery pack. Depends on how much you use them but for me it can last from 4 days to a whole week. But couldnt find more to order, I think there are another brand or color.

",Scorpio90G,5.0
49,49,B079JFK22D,Size: AA 4 Pack,"June 30, 2020",Verified Purchase,"
Rechargeable batteries with UBS plug in the battery is very convenient.
","

  I use these batteries in my remotes, pc mice, and a battery operated amplifier.  Very convenient, and definitely beats having to constantly buy batteries.  Recharges quickly.

",Gary W. Baker,5.0
50,50,B079JFK22D,Size: AA 4 Pack,"June 27, 2020",Verified Purchase,"
Works well, but understand what you're getting.
","

  These are novel and strange batteries. It's super convenient to recharge via USB chargers (which are ubiquitous these days). It'd be nice if they came with a 4-way cable to permit charging all cells off one suitable USB charger. These are excellent when you have a device that's really meant for cells like alkaline or lithium primary cells that put out a full 1.5V. Sometimes such a device won't work as well from 1.2V rechargables like NiMH or NiCad. These cells will work better, but you'll need to be aware of key downsides:1) Because they output a full 1.5V steadily until fully discharged, there's no voltage dip for electronic gadgets to use to gauge battery charge remaining. So your device will appear fully-charged on these batteries 100% till cutout, which will be sudden and unexpected. Have a backup set ready!2) Because of (1), these cells are a little risky when used to power devices like digital recorders and cameras. They'll work, but because of the sudden cut-out when discharged, if you fail to stop your recording in the normal way beforehand, you may lose the /entire/ recording due to failure to write-out and close the recording file to the flash memory normally. For a still camera, this'll be just the last picture at cut-out, but for an audio or video recording, you might lose the whole recording. The risk can be minimized by timing the runtime in the device you get from the cells in a test-run first, then being careful to stop using the device in the field in sufficient time to save and close your recording before that time (being sure to adjust for extreme temperatures, which reduce capacity).3) These batteries work by using a micro-mini voltage convertor to step the cell's native 3.6V (4.2V - 3.0V) down to a fixed 1.5V output. A side effect of the convertor's operation is stray radio-frequency emission, some of which is conducted thru into the device being powered. If that device is a radio receiver, like a handheld scanner or FRS/GMRS handy-talkie, or similar, you can expect reduced receive performance.In testing with a handheld scanner I use to monitor operations at my local airport, I experienced a 50% reduction of sensitivity, and some low frequencies (e.g. the AM broadcast band) were lost in the RF noise from these cells entirely. This isn't a defect, it's just a side-effect of how the cells work. A battery-powered GPS device may also be affected, I tried them in a Garmin GPSmap 60CS 2-AA handheld GPS unit. They worked flawlessly for me here, with no reduction in satellite signal strength, but your device may vary and you could try it out first before going into the field. And again, there will be no warning prior to end-of-discharge cut-off, the GPS will appear ""fully charged"" the entire time.So what do I use them for? I have an LED flashlight that's super bright, but was designed for alkaline cells and would not get to full brightness on normal NiMH rechargeables. These cells work _perfectly_ there. The only remaining downside is limited cell capacity. From 2400 mAh NiMH cells, I'd get two hours continuous runtime, but these cells can only provide one hour (1200 mAh capacity). Again, that's simply a side effect of the design and isn't a defect.I also have a couple of fancy electronic flash units for my SLR camera, and these cells work extremely well in that device too!So, know your device and your application to decide if these cells are right for you. Most modern electronic gadgets like radio equipment or digital recording devices will be designed to operate just fine from 1.2V NiMH cells, and these won't harm the receive performance of a radio like these USB cells. Plus, you'll get proper charge-state indications from NiMH cells. Just remember to select and pack a quality NiMH charger in that case.

",Andrew Skretvedt,4.0
51,51,B079JFK22D,Size: AA 4 Pack,"June 24, 2020",Verified Purchase,"
Great product
","

  Still using

",Amazon Customer,4.0
52,52,B079JFK22D,Size: AA 4 Pack,"June 22, 2020",Verified Purchase,"
Awsome!!
","

  What can I saw, these batteries are awesome. USB rechargeable, and eliminated the need to buy and waste batteries for a while! Physically these are a tad longer than regular batteries, about 1mm. But they will still fit in all your electronic devices.Highly recommend as a green alternative

",Derek,5.0
53,53,B079JFK22D,Size: AA 4 Pack,"June 20, 2020",Verified Purchase,"
Very good deal
","

  Arrived in a timely manner. The batteries were easy to use and the charge lasted in about 2 weeks in my switch controller.

",Annette Thompson,4.0
54,54,B079JFK22D,Size: AA 4 Pack,"June 12, 2020",Verified Purchase,"
Easy to use
","

  Relative to other existing old and contemporary batteries these USB batteries HIGTRENDS are durable and built to withhold much.  They are easy to charge via outlets or whatever comes its way.  Fully USB compatible batteries that work for hundreds and hundreds usages.Highly recommendable!

",FriscoStars,5.0
55,55,B079JFK22D,Size: AA 4 Pack,"June 10, 2020",Verified Purchase,"
Great Buy!
","

  Easy setup.

",Litabit,5.0
56,56,B079JFK22D,Size: AA 4 Pack,"June 9, 2020",Verified Purchase,"
Work Great
","

  work great and hold a charge for a long time.

",amzn-women-on-the-moon,5.0
57,57,B079JFK22D,Size: AA 4 Pack,"June 8, 2020",Verified Purchase,"
The battries was amazing i tried it once
","

  Good batteries and I will order more again

",jarah,5.0
58,58,B079JFK22D,Size: AA 4 Pack,"June 6, 2020",Verified Purchase,"
Good to go
","

  So far I’m using in my wireless mouse and a remote. So far it’s held a charge and they are just as responsive as reg batteries

",Kevin Khan,5.0
59,59,B079JFK22D,Size: AA 4 Pack,"June 5, 2020",Verified Purchase,"
Love them!
","

  The one and ONLY downside I have found with these batteries is that you get no directions, but it is extremely easy to figure out.  They light up when they are charging.  The AA blink until fully charged and then have a solid blue light near the Positive end.  The AAA batteries blink until they are full charged, which at that time the light shuts off.  The shipping was quick and adequate.  I'm using the AAA for my wireless keyboard and mouse.  I'm very glad not to have to buy any more batteries for a long time to come.  The AA batteries I'm fix'n to put into one of my TV remotes.  Can't say enough good things about this product.

",Shannon Kelley,5.0
60,60,B079JFK22D,Size: AA 4 Pack,"June 2, 2020",Verified Purchase,"
These are complete junk.
","

  I purchased the AA batteries.  They do not come with instructions.  What is written on amazon is what you get.  They do not have a red light to indicate charging.  Mine flashes blue.  When they are charged they turn to solid blue.  After the second charge I had thought the batteries stopped working.  It turns out the pin in the cap was slightly bent and was not making the correct connection with the bottom part in one of the batteries.  I bent it back to match the other batteries and everything seems fine for the time being.

",Heath ,3.0
61,61,B079JFK22D,Size: AA 4 Pack,"June 2, 2020",Verified Purchase,"
Dangerous for people who dont read instructions
","

  Turns out when it sats input of 500 ma, it means it.Grabbed the closest USB charger on hand to get these puppies warmed up.  About 5 minutes later I hear a pop and hiss.  The light is off, and there's an odd smell.  The labels seems to have heated up and shrunk.Take it off the charger, the adhesive has melted!  Now I have an open battery thats spewed what looks like electrolyte on my wall charger.Long story short, do not plug these into a 2A USB charger.  Keep it low and slow.

",TheYancinator,1.0
62,62,B079JFK22D,Size: AA 4 Pack,"May 31, 2020",Verified Purchase,"
works great but...
","

  works great but be gentle.  they are not the strongest built.  works great and last a long time in my xbox controller

",Dre tre,5.0
63,63,B079JFK22D,Size: AA 4 Pack,"May 31, 2020",Verified Purchase,"
Very good purchase you will not be disappointed
","

  I love the Beast batteries can be charged up if using an external charger standard Android charger cord and they last about as long as a regular AA battery. Just be careful that you don't lift the cap up too high or flick it back too hard because it is on a little bungee and you don't want to break it or lose the cap

",Talia,5.0
64,64,B079JFK22D,Size: AA 4 Pack,"May 29, 2020",Verified Purchase,"
WORKS GOOD FOR MAGLITE
","

  The 4 pack is awesome, for testing purposes though, I have only been using the same 2 batteries in my mini maglite for almost 2 years (the other 2 are used randomly in the house) and have charged them over 50 times. When using the flashlight a lot I can get two weeks from a charge and have they sat unused for months and still had adequate charge left. The charge doesn't last as long as alkaline but, on the other hand, I haven't bought batteries for my light in two years. It takes about 4 hours to charge from completely dead.  They make the flashlight as bright as a ""fresh out the pack"" pair of alkaline batteries and they stay that bright. They don't dim the flashlight as they discharge like the alkaline do. The flashlight stays at peak brightness until the batteries are fully discharged and the light goes completely out. I keep a pair of alkaline batteries in my toolbox at work for when the light dies and I'm needing to use the light and cant wait for them to charge. When the batteries are done charging they go back in the light and the alkaline go back in the toolbox.

",Dustin M,5.0
65,65,B079JFK22D,Size: AA 4 Pack,"May 28, 2020",Verified Purchase,"
The batteries that will make you never buy disposable batteries ever again.
","

  The fact these even exist in the first place is a godsend. They charge via any USB port in about an 90 minutes and will work in your every day electronics. Is perfect for game controllers that still use AA batteries, TV remotes, wireless mouse and keyboards (which is what I got them for) and many other devices.If there is one thing I will say is a small concern is the cap on top that covers the USB port. It's held on by a small elastic cord to prevent it from being misplaced. I would be very careful when removing and replacing, as it feels it can snap off if moved too fast, so just be careful.Other than that, my only other complaint is........why did I not get these sooner? They are 100% worth the money. I plan to get some more of these and some AAA versions soon.

",Jacob Romo,5.0
66,66,B079JFK22D,Size: AA 4 Pack,"May 27, 2020",Verified Purchase,"
1 out of 4 won't charge
","

  Will be sent back. One out of four will not charge, therefore cannot use. Apparently no testing done.

",Jason P. Nemeck,1.0
67,67,B079JFK22D,Size: AA 4 Pack,"May 26, 2020",Verified Purchase,"
Solid
","

  Easy to charge, have kept their charge for quite some time, look forward to continuing to use them around the house. Would recommend.

",Tyler Clough,5.0
68,68,B079JFK22D,Size: AA 4 Pack,"May 24, 2020",Verified Purchase,"
They do what they claim to do
","

  Been using these for 6 months in my game controllers. I've only had to recharge them once so far.Because of the elastic band holding the cap on, it can be a little finicky to get them properly charging in the USB port, but since they illuminate when charging that's not much of an issue.The biggest downside that you might overlook is that any device you put these into can't know the charge level. So my wireless controllers won't warn me when they're low on battery anymore -- they just go from working well to flaking out when the batteries are low without much warning. Presumably this is because the voltage of these batteries as they discharge doesn't follow that of a typical alkaline battery (instead, the voltage is mostly constant throughout the discharge because of the circuitry that converts the 3.7 V of the lithium battery to the 1.5 V presented at the AA terminals, until it just completely drops out).

",Colin Wallace,5.0
69,69,B079JFK22D,Size: AA 4 Pack,"May 24, 2020",Verified Purchase,"
Good
","

  They light up when charging to tell you when it's done and they look nice

",Nolan J.,5.0
70,70,B079JFK22D,Size: AA 4 Pack,"May 22, 2020",Verified Purchase,"
Really handy rechargeables
","

  I really hate having to lug a charger around in order to use rechargeable batteries!  These were the solution to my desire for easy to use rechargeables.  They work great, charge quickly, and are almost as long lasting as the best ones I've every used.  The hidden USB plug makes them just too easy to recharge.

",Jon,5.0
71,71,B079JFK22D,Size: AA 4 Pack,"May 18, 2020",Verified Purchase,"
Good for low power products
","

  Been using this for my gaming mouse which uses 2 batteries at a time and they usually last about 6-8 weeks before I have to switch them out. That's perfectly acceptable for how much the mouse gets used.  With regular batteries, it would last about 5 to 6 months so you get your money back and then some within the year. I'm sure wit degradation I will have to switch them out more frequently but that has yet to be determined.

",keredd1010,4.0
72,72,B079JFK22D,Size: AA 4 Pack,"May 18, 2020",Verified Purchase,"
Very neat and nice product!
","

  Can’t really confirm durability yet, but all seems good so far! Arrived in beautiful reusable container and provide very good life in my daily used flashlight!

",Dale S.,5.0
73,73,B079JFK22D,Size: AA 4 Pack,"May 17, 2020",Verified Purchase,"
I wouldn’t buy again
","

  It’s okay in a pinch. It needs to be recharged too often.

",Holly,3.0
74,74,B079JFK22D,Size: AA 4 Pack,"May 15, 2020",Verified Purchase,"
So useful !
","

  These batteries are the best !!No more disposable leaking AA's.Charge quickly and have a good capacity.

",A. Tedds,5.0
75,75,B079JFK22D,Size: AA 4 Pack,"May 12, 2020",Verified Purchase,"
Looking forward for a charger port
","

  They are very good for life

",Glenn Sewell,5.0
76,76,B079JFK22D,Size: AA 4 Pack,"May 12, 2020",Verified Purchase,"
They are rechargeable without a special charger that's pretty awesome.
","

  They fit correct, they work in my blink cameras.  Win win

",Jacob T Anderson,5.0
77,77,B079JFK22D,Size: AA 4 Pack,"May 7, 2020",Verified Purchase,"
USB AA !!!!!! WOW!!!!!
","

  The AA batteries are a brilliant idea. A perfect easy way to quickly recharge the battery in a USB plug.

",RICHARD B BRUNO,5.0
78,78,B079JFK22D,Size: AA 4 Pack,"April 29, 2020",Verified Purchase,"
I love these batteries
","

  These are great, and you can reuse them for a long time, just recharge them.  These have replaced all of my disposable batteries. I highly recommend these.

",Sarra Lederman,5.0
