,Unnamed: 0,asin,product,date,verified,title,desc,reviewer_name,rating,title_desc
13,13,B0873WS5FQ,,"August 3, 2020",Verified Purchase,Does a great job,  I've seen a lot of products like this before were people buy it and are surprised that it's not an air conditioner and won't cool down the entire room. This I a personal cooler much like a fan but it blows cool air at you instead of just fast air. It can make you comfortable if you're using it at a table or what have you but it won't work to cool down an entire room.,Liberty Dinkin,5.0,Does a great job  I've seen a lot of products like this before were people buy it and are surprised that it's not an air conditioner and won't cool down the entire room. This I a personal cooler much like a fan but it blows cool air at you instead of just fast air. It can make you comfortable if you're using it at a table or what have you but it won't work to cool down an entire room.
14,14,B0873WS5FQ,,"August 2, 2020",Verified Purchase,Water reservoir's a cool feature,"  A personal AC unit that cools you down. It doesn't cool like a real ac but cools you down and it's perfect at doing that. It's only a little noisy so it's not annoying and adding cold water to the reservoir makes it so much more effective. You can also add some essential oil to filter heads if you want added bonus of great calming smell, just don't put TOO much. It can get very strong.",Eshwar Amiji,5.0,"Water reservoir's a cool feature  A personal AC unit that cools you down. It doesn't cool like a real ac but cools you down and it's perfect at doing that. It's only a little noisy so it's not annoying and adding cold water to the reservoir makes it so much more effective. You can also add some essential oil to filter heads if you want added bonus of great calming smell, just don't put TOO much. It can get very strong."
15,15,B0873WS5FQ,,"August 1, 2020",Verified Purchase,Worth it,"  I started working from home due to Covid and since quarantine is extending into the warmer months, my once pleasantly cool office is turning into my personal hell which is why I got myself a personal cooler. It took a while to get here but that's only because of amazon shipping delays that were all dealing with, totally understandable. It makes my sitting area cool and I can focus on work and actually look presentable in my video conferences instead of sweating bullets.",Ehtel Ortelli,5.0,"Worth it  I started working from home due to Covid and since quarantine is extending into the warmer months, my once pleasantly cool office is turning into my personal hell which is why I got myself a personal cooler. It took a while to get here but that's only because of amazon shipping delays that were all dealing with, totally understandable. It makes my sitting area cool and I can focus on work and actually look presentable in my video conferences instead of sweating bullets."
16,16,B0873WS5FQ,,"July 31, 2020",Verified Purchase,Becomes white noise,"  It's not too loud either you definitely can hear it but no more than a normal fan and after a while it just becomes white noise. Adding crushed ice to the canister for the water makes it cool you down so much faster! Also it is the best looking mini ac in the market in my opinion, well done Brizer!",Cathleen Weatherspoon,5.0,"Becomes white noise  It's not too loud either you definitely can hear it but no more than a normal fan and after a while it just becomes white noise. Adding crushed ice to the canister for the water makes it cool you down so much faster! Also it is the best looking mini ac in the market in my opinion, well done Brizer!"
17,17,B0873WS5FQ,,"July 27, 2020",Verified Purchase,I put it on my desk,  Obviously won't cool a whole room but it's just good enough that it will keep you cool if you're sitting at the desk and it's just quiet enough that it won't affect your focusing.,Dominic Bozwell,5.0,I put it on my desk  Obviously won't cool a whole room but it's just good enough that it will keep you cool if you're sitting at the desk and it's just quiet enough that it won't affect your focusing.
18,18,B0873WS5FQ,,"July 26, 2020",Verified Purchase,Keeps me cool,"  This is a very good way to cool down a small area and it keeps me cool at night during very hot weather! I am very happy I decided to try this mini AC, it's very useful.",Sharri Heather,5.0,"Keeps me cool  This is a very good way to cool down a small area and it keeps me cool at night during very hot weather! I am very happy I decided to try this mini AC, it's very useful."
19,19,B0873WS5FQ,,"July 25, 2020",Verified Purchase,Small but effective,"  It was easy to use and kept me cool. It doesn't cool a really large room though. But using it nearby is great! After a few days, I bought this product for a good friend of mine and he said he absolutely loves it.",Bahattin mcgeevincent,5.0,"Small but effective  It was easy to use and kept me cool. It doesn't cool a really large room though. But using it nearby is great! After a few days, I bought this product for a good friend of mine and he said he absolutely loves it."
20,20,B0873WS5FQ,,"May 31, 2020",Verified Purchase,Happy,"  When I opened this box I thought wow this thing is smaller than I thought and no way is it going to work as it says. Well, I was wrong, I am surprisingly happy with this unit.",William mccarty,5.0,"Happy  When I opened this box I thought wow this thing is smaller than I thought and no way is it going to work as it says. Well, I was wrong, I am surprisingly happy with this unit."
21,21,B0873WS5FQ,,"May 28, 2020",Verified Purchase,Amazing stuff,"  Nothing like the ontel ""best seller"" I had. This is way nicer, more durable, didn't leak, and cools on a larger area. It looks great anywhere I put it. Office desk, on a night stand or even on my coffee table. Well worth it. Check the images.",Lana Weirick,5.0,"Amazing stuff  Nothing like the ontel ""best seller"" I had. This is way nicer, more durable, didn't leak, and cools on a larger area. It looks great anywhere I put it. Office desk, on a night stand or even on my coffee table. Well worth it. Check the images."
22,22,B0873WS5FQ,,"May 10, 2020",Verified Purchase,Sleek and effective design,"  I am using this mini AC while reading before bed. It helps me to stay awake and helps me to read much more than usual, which was exactly what I needed. Very nice and effective. I had Brizer's other ac which was nice but this is on a different level, much better!",Evelyn Ferraris,5.0,"Sleek and effective design  I am using this mini AC while reading before bed. It helps me to stay awake and helps me to read much more than usual, which was exactly what I needed. Very nice and effective. I had Brizer's other ac which was nice but this is on a different level, much better!"
23,23,B0873WS5FQ,,"April 24, 2020",Verified Purchase,Streamlined Design,"  I really love this cooler not just because it's very portable and can cool down my office in a few minutes, but because of how streamlined and attractive the design is.",Thea Roberts,5.0,"Streamlined Design  I really love this cooler not just because it's very portable and can cool down my office in a few minutes, but because of how streamlined and attractive the design is."
24,24,B01DLPUWL2,"Size: 14,000 BTU","August 25, 2020",Verified Purchase,Very Disappointing,  I'm not sure why people are saying it's quiet. The fan control has no effect in cool mode. When you set the fan on low and adjust the temperature the fan automatically switches to high as if on auto which makes it too loud for a bedroom. There's also an obnoxious vibration happening with the covers. I have to wedge a towel between the cover and the floor to get it to stop. The unit is level so it's not a leveling issue.,Dave,2.0,Very Disappointing  I'm not sure why people are saying it's quiet. The fan control has no effect in cool mode. When you set the fan on low and adjust the temperature the fan automatically switches to high as if on auto which makes it too loud for a bedroom. There's also an obnoxious vibration happening with the covers. I have to wedge a towel between the cover and the floor to get it to stop. The unit is level so it's not a leveling issue.
25,25,B01DLPUWL2,"Size: 10,000 BTU","August 25, 2020",Verified Purchase,"Location, location, location","  Not sure why so many reviews about noise level.  It's an air conditioner.  The noise level is completely acceptable to me. However, I thought it would have done a better job of cooling and dehumidifying a small basement bedroom.  I would not recommend for a damp basement bedroom.",Amazon Customer,1.0,"Location, location, location  Not sure why so many reviews about noise level.  It's an air conditioner.  The noise level is completely acceptable to me. However, I thought it would have done a better job of cooling and dehumidifying a small basement bedroom.  I would not recommend for a damp basement bedroom."
26,26,B01DLPUWL2,"Size: 10,000 BTU","August 25, 2020",Verified Purchase,Unit is not what I would consider quiet especially if you want it for a bedroom,  The unit cools my bedroom pretty well but I feel it is very loud. I like the fan feature but I would like to be able to adjust the vent it only allows one direction. I was hoping this would cool my bedroom off enough so I could turn my central air off at night but not working as hoped. Probably ok if you don’t have any air conditioning.,L.S.,3.0,Unit is not what I would consider quiet especially if you want it for a bedroom  The unit cools my bedroom pretty well but I feel it is very loud. I like the fan feature but I would like to be able to adjust the vent it only allows one direction. I was hoping this would cool my bedroom off enough so I could turn my central air off at night but not working as hoped. Probably ok if you don’t have any air conditioning.
27,27,B01DLPUWL2,"Size: 8,000 BTU","August 25, 2020",Verified Purchase,price,  works good,christine millen,4.0,price  works good
28,28,B01DLPUWL2,"Size: 8,000 BTU","August 25, 2020",Verified Purchase,It works,"  I have used this all summer almost 24/7 and my electric bill has only gone up an average of $9.00 per month. It works well for a bedroom, I've never had to empty anything or any complications. It was also very easy to set up. It does do a thing at night where it turns to fan mode then switches back to AC mode in intervals that are loud enough to wake me up and I do notice the rise in temperature between switching on and off in AC mode, and I am not sure if that is something that is controllable or not. For me, the price was on point and it saved me from roasting this summer.",BP,4.0,"It works  I have used this all summer almost 24/7 and my electric bill has only gone up an average of $9.00 per month. It works well for a bedroom, I've never had to empty anything or any complications. It was also very easy to set up. It does do a thing at night where it turns to fan mode then switches back to AC mode in intervals that are loud enough to wake me up and I do notice the rise in temperature between switching on and off in AC mode, and I am not sure if that is something that is controllable or not. For me, the price was on point and it saved me from roasting this summer."
29,29,B01DLPUWL2,"Size: 14,000 BTU w Heat","August 25, 2020",Verified Purchase,Almost better than nothing,"  Before we begin, this is a 2.5 star rating.  I couldnt bring myself to give it a 2 cause it works, but a 3 is just too kind.Lets get the good out of the way.1.  Its better than NOT having an air-conditioner.  We've had some really hot days lately and knowing we can retreat to the bedroom where its cooler (not cold) is a godsend.  Also makes sleeping at night easier.2. Once you've set it up once, its a breeze to take down and put up again (in that same area).  And the rolling wheels make the heavy unit someone easy to push around.3. Go out the back and feel the hot air coming out, its like a hair dryer set to medium.So now after using this for 1 year I have A LOT of design issues with this.1.  You can't set it to just ON, full blast.  It'll cycle periodically on/off which creates a large clunking noise, and since its in our bedroom wakes us up.2.  Jesus Christ the blue lights on the display illuminate the whole bedroom at night with a bright blue glow.  And yet somehow  if you walk up to the display at night you cant see any of the buttons to change settings.You will end up covering the display with something its just too bright at night3. The water drain is 1-inch from the ground.  So water doesn't drain unless your using a McDonald's tray to catch water.  Raise the unit up you say? well its on wheels and will easily fall and crush you.So to empty the water you periodically will to a 80 pound deadlift and wait for the water to drain.  Brilliant.4.  The lowest temperature setting is 64F ?!?!  Thats like 17C, thats not cold ! that's just below ambient temperature.  I want icicles coming off my unit or its not cold enough especially when advertised as 14000 BTU.5.  I think its added about 150$ / month to my electricity bill on heavily used months...thats a lot for slightly cooling down one room only.I know these stand alone units aren't great and have many design flaws and physical limitations.  But I just cant recommend this after having it for a year.  I am glad I have something to help on hot days but if I had to do it again I would consider a different option, though it may not be much better either.",Evangelos,3.0,"Almost better than nothing  Before we begin, this is a 2.5 star rating.  I couldnt bring myself to give it a 2 cause it works, but a 3 is just too kind.Lets get the good out of the way.1.  Its better than NOT having an air-conditioner.  We've had some really hot days lately and knowing we can retreat to the bedroom where its cooler (not cold) is a godsend.  Also makes sleeping at night easier.2. Once you've set it up once, its a breeze to take down and put up again (in that same area).  And the rolling wheels make the heavy unit someone easy to push around.3. Go out the back and feel the hot air coming out, its like a hair dryer set to medium.So now after using this for 1 year I have A LOT of design issues with this.1.  You can't set it to just ON, full blast.  It'll cycle periodically on/off which creates a large clunking noise, and since its in our bedroom wakes us up.2.  Jesus Christ the blue lights on the display illuminate the whole bedroom at night with a bright blue glow.  And yet somehow  if you walk up to the display at night you cant see any of the buttons to change settings.You will end up covering the display with something its just too bright at night3. The water drain is 1-inch from the ground.  So water doesn't drain unless your using a McDonald's tray to catch water.  Raise the unit up you say? well its on wheels and will easily fall and crush you.So to empty the water you periodically will to a 80 pound deadlift and wait for the water to drain.  Brilliant.4.  The lowest temperature setting is 64F ?!?!  Thats like 17C, thats not cold ! that's just below ambient temperature.  I want icicles coming off my unit or its not cold enough especially when advertised as 14000 BTU.5.  I think its added about 150$ / month to my electricity bill on heavily used months...thats a lot for slightly cooling down one room only.I know these stand alone units aren't great and have many design flaws and physical limitations.  But I just cant recommend this after having it for a year.  I am glad I have something to help on hot days but if I had to do it again I would consider a different option, though it may not be much better either."
30,30,B01DLPUWL2,"Size: 8,000 BTU","August 25, 2020",Verified Purchase,It's loud and ugly,"  It does make the room cooler...within limits. I think if you can get a window mounted AC, do that",TomTomTom,3.0,"It's loud and ugly  It does make the room cooler...within limits. I think if you can get a window mounted AC, do that"
31,31,B01DLPUWL2,"Size: 14,000 BTU","August 25, 2020",Verified Purchase,gives out great cold air,  Works like a charm. I would recommend this product.,Kim Delbrouck,5.0,gives out great cold air  Works like a charm. I would recommend this product.
32,32,B01DLPUWL2,"Size: 10,000 BTU","August 25, 2020",Verified Purchase,Not great,  The noise level is not worth the cooling capacity.,Sarah Sleiman,3.0,Not great  The noise level is not worth the cooling capacity.
33,33,B01DLPUWL2,"Size: 12,000 BTU w Heat","August 25, 2020",Verified Purchase,"Noisy, leaky, no HEPA options","  In AC mode, it is as noisy as a cheap motel's AC. The unit itself has good build quality, air hose connectors are poorly designed and easily come off every time you move it. The unit's surfaces attract dust like magnets. No options for HEPA OEM or aftermarket filters. The air filter is a joke.I would not buy it again.",Alex,3.0,"Noisy, leaky, no HEPA options  In AC mode, it is as noisy as a cheap motel's AC. The unit itself has good build quality, air hose connectors are poorly designed and easily come off every time you move it. The unit's surfaces attract dust like magnets. No options for HEPA OEM or aftermarket filters. The air filter is a joke.I would not buy it again."
34,34,B01DLPUWL2,"Size: 14,000 BTU w Heat","August 25, 2020",Verified Purchase,Awesome,  This machine is awesome!  Very cold air and very hot air.  Fills a big room very well!,Sean Koltiska,5.0,Awesome  This machine is awesome!  Very cold air and very hot air.  Fills a big room very well!
35,35,B01DLPUWL2,"Size: 8,000 BTU","August 25, 2020",Verified Purchase,Garbage weather stripping.,"  Unit works okay. Not very efficient. Even less efficient because I can't get a good seal against my window frame, because the ""weather stripping"" that Black and Decker is shipping with this unit literally disintegrated in my hands when I tried to apply it. Feels like it's made out of manufacturing waste. I paid three hundred bucks for this thing, you can't send me some actual weather stripping? I won't be buying anything else from a company that thinks so little of its customers.",JTown,1.0,"Garbage weather stripping.  Unit works okay. Not very efficient. Even less efficient because I can't get a good seal against my window frame, because the ""weather stripping"" that Black and Decker is shipping with this unit literally disintegrated in my hands when I tried to apply it. Feels like it's made out of manufacturing waste. I paid three hundred bucks for this thing, you can't send me some actual weather stripping? I won't be buying anything else from a company that thinks so little of its customers."
36,36,B01DLPUWL2,"Size: 14,000 BTU","August 25, 2020",Verified Purchase,It’s ok,  Nice product for the price. It definitely is noisy but you cannot expect much from a unit that has a compressor going. The window attachment was a little wonky to put together and one section was bent . Overall it is a decent buy. It does a good job cooling the room,Amazon Customer,4.0,It’s ok  Nice product for the price. It definitely is noisy but you cannot expect much from a unit that has a compressor going. The window attachment was a little wonky to put together and one section was bent . Overall it is a decent buy. It does a good job cooling the room
37,37,B01DLPUWL2,"Size: 12,000 BTU w Heat","August 25, 2020",Verified Purchase,So far so good,  Still using the ac feature. Love it. It’s definitely help keep our playroom cool in 100° + temps. Will keep posted when comes time to heat.,Hot mama,5.0,So far so good  Still using the ac feature. Love it. It’s definitely help keep our playroom cool in 100° + temps. Will keep posted when comes time to heat.
38,38,B01DLPUWL2,"Size: 8,000 BTU","August 25, 2020",Verified Purchase,Cools a large room,  I will say my box was missing a piece to attach to the window but amazon quickly fixed the issue. With that being said I absolutely love this. Purchased for my daughters playroom that doesn’t get AC very well. It’s perfect.,Sandra,5.0,Cools a large room  I will say my box was missing a piece to attach to the window but amazon quickly fixed the issue. With that being said I absolutely love this. Purchased for my daughters playroom that doesn’t get AC very well. It’s perfect.
39,39,B01DLPUWL2,"Size: 10,000 BTU","August 25, 2020",Verified Purchase,Too loud.,  I thought by the reviews that this unit was on the quiet side.  Was I wrong.  The fan speed seems to be always on high.  It is much too loud.  And it trips up a fuse if I have it on with another unit in a different room.VERY DISAPPOINTED.  It is too big to send back.,Linda P.,1.0,Too loud.  I thought by the reviews that this unit was on the quiet side.  Was I wrong.  The fan speed seems to be always on high.  It is much too loud.  And it trips up a fuse if I have it on with another unit in a different room.VERY DISAPPOINTED.  It is too big to send back.
40,40,B01DLPUWL2,"Size: 10,000 BTU","August 24, 2020",Verified Purchase,"Too noisy , not efficient, light bills were higher than usual,","  I used this unit for my living room and when we are watching TV at times we have to turn it off to listento what is been playing on TV.  This unit  just through air out in one direction , to the left side , not in the center like other unit, is no good. I kept it because it was too hot and it will take time to get another unit.I am very unhappy with it .it was not worth it to buy this unit.",Amazon Customer,2.0,"Too noisy , not efficient, light bills were higher than usual,  I used this unit for my living room and when we are watching TV at times we have to turn it off to listento what is been playing on TV.  This unit  just through air out in one direction , to the left side , not in the center like other unit, is no good. I kept it because it was too hot and it will take time to get another unit.I am very unhappy with it .it was not worth it to buy this unit."
41,41,B01DLPUWL2,"Size: 14,000 BTU w Heat","August 24, 2020",Verified Purchase,DO NOT GET. DOES NOT LAST LONG.,"  Machine work fine for the first month or two the begins to shake, rattle and not does not go to highest fan level just shakes more and stays at a low setting even tho its on high.",Andre,1.0,"DO NOT GET. DOES NOT LAST LONG.  Machine work fine for the first month or two the begins to shake, rattle and not does not go to highest fan level just shakes more and stays at a low setting even tho its on high."
42,42,B01DLPUWL2,"Size: 12,000 BTU w Heat","August 24, 2020",Verified Purchase,Don’t Waste Your Money...junk,  This is a horrible product. Not sure how it became a “Best Seller” because it sucks. The air exhaust hose is a piece of crap. This product does not cool our small area down and is loud. I would never buy this product again nor recommend it to anyone and I regret buying two of them as it was a complete waste of money. Small window air conditioners work better than this thing does.,Amazon Customer,1.0,Don’t Waste Your Money...junk  This is a horrible product. Not sure how it became a “Best Seller” because it sucks. The air exhaust hose is a piece of crap. This product does not cool our small area down and is loud. I would never buy this product again nor recommend it to anyone and I regret buying two of them as it was a complete waste of money. Small window air conditioners work better than this thing does.
43,43,B01DLPUWL2,"Size: 8,000 BTU","August 24, 2020",Verified Purchase,"do not buy it, you gonna regret if you do it","  Please if you don't want your electricity bill increase.... do not buy it, simple like this to hard to cool down a little room,",Alfredo F.,1.0,"do not buy it, you gonna regret if you do it  Please if you don't want your electricity bill increase.... do not buy it, simple like this to hard to cool down a little room,"
44,44,B01DLPUWL2,"Size: 14,000 BTU w Heat","August 24, 2020",Verified Purchase,Pretty good cooling power.,"  I previously had a 10,000 BTU portable AC. To replace, I went with this highest model, the 14000 btu/ 11000 heat. It does pretty well, so far. When I turn it on max it turns my little apartment into a polar cap. I personally opted for the higher end model so I wouldn't have to run it on high all the time. I figure that running an AC on low rather than high extends the overall lifetime of the compressor.I turned it on the heating mode once to test it out and it seemed to push out some decent BTU's. Since it's August it will be a while before I can test that function.I really wish the remote control had a backlight function, like a little button that you could toggle the backlight on the LED on/off. It's really annoying having to search for a flashlight in the middle of the night just to change the remote settings.When running on max AC mode there is considerable moisture condensation build-up on the top near the touch-buttons, which is worrying. I have to wipe it off every 6 hours.Otherwise, it runs very well and I appreciate that it had the casters pre-installed. The cord was shorter than other previous portable AC units I have used.The hose included should have been insulated, it's just a plastic hose. The heat dissipation from that does not help. For a nearly 500 dollar unit, I would have appreciated an insulated hose.Overall 4/5 stars.",DG,5.0,"Pretty good cooling power.  I previously had a 10,000 BTU portable AC. To replace, I went with this highest model, the 14000 btu/ 11000 heat. It does pretty well, so far. When I turn it on max it turns my little apartment into a polar cap. I personally opted for the higher end model so I wouldn't have to run it on high all the time. I figure that running an AC on low rather than high extends the overall lifetime of the compressor.I turned it on the heating mode once to test it out and it seemed to push out some decent BTU's. Since it's August it will be a while before I can test that function.I really wish the remote control had a backlight function, like a little button that you could toggle the backlight on the LED on/off. It's really annoying having to search for a flashlight in the middle of the night just to change the remote settings.When running on max AC mode there is considerable moisture condensation build-up on the top near the touch-buttons, which is worrying. I have to wipe it off every 6 hours.Otherwise, it runs very well and I appreciate that it had the casters pre-installed. The cord was shorter than other previous portable AC units I have used.The hose included should have been insulated, it's just a plastic hose. The heat dissipation from that does not help. For a nearly 500 dollar unit, I would have appreciated an insulated hose.Overall 4/5 stars."
45,45,B01DLPUWL2,"Size: 10,000 BTU","August 24, 2020",Verified Purchase,Too hot. Disappointed.,  Stopped working after like 3 months?? It’s 100 degrees outside and this only cools til like 90 degrees. I wanted it to be colder than this. What’s the point of having AC if it won’t get cooler than 90°?,Louie Flores,1.0,Too hot. Disappointed.  Stopped working after like 3 months?? It’s 100 degrees outside and this only cools til like 90 degrees. I wanted it to be colder than this. What’s the point of having AC if it won’t get cooler than 90°?
