,asin,product,date,verified,title,desc,reviewer_name,rating,month,year,month_year,title_desc
10,B08268F6XN,AA,2020-06-08,Not Verified,Excellent rechargable battery that saved me money in 1 month," Product works great, LOVE the built in charge indicator. Replaced all the batteries in my high use items: remotes, CHILD'S TOYS, xbox controllers and bathroom scale. Within the first month I saved on disposables.",KDB,5.0,6,2020,2020-06,"Excellent rechargable battery that saved me money in 1 month Product works great, LOVE the built in charge indicator. Replaced all the batteries in my high use items: remotes, CHILD'S TOYS, xbox controllers and bathroom scale. Within the first month I saved on disposables."
11,B08268F6XN,AA,2020-06-03,Verified Purchase,"4 stars! Great product, great company communication, a tad pricey, but rechargeable!"," 4 stars! Great product, great company communication, a tad pricey, but rechargeable so I don't have to constantly buy batteries!I love the usb charger, built-in very convenient. Came with charging cable too!Only issue was delivery from Amazon fulfilment, sent the wrong size - a mislabeled box... not really anyone's fault.Company was amazing at communicating to make it right! Sent the correct size, all good.",Amazon Customer,4.0,6,2020,2020-06,"4 stars! Great product, great company communication, a tad pricey, but rechargeable! 4 stars! Great product, great company communication, a tad pricey, but rechargeable so I don't have to constantly buy batteries!I love the usb charger, built-in very convenient. Came with charging cable too!Only issue was delivery from Amazon fulfilment, sent the wrong size - a mislabeled box... not really anyone's fault.Company was amazing at communicating to make it right! Sent the correct size, all good."
12,B08267BBJT,AAA,2020-06-02,Verified Purchase,Best purchase I've made, I like that I no longer have to buy batteries again. I've already saved money by purchasing rechargeable batteries. I told several friends they ordered them as well.,WOW,5.0,6,2020,2020-06,Best purchase I've made I like that I no longer have to buy batteries again. I've already saved money by purchasing rechargeable batteries. I told several friends they ordered them as well.
13,B08267BBJT,AAA,2020-06-02,Verified Purchase,"Great product, slightly to short positive terminal"," These are great replacements for aaa batteries.  I use them in a Bluetooth mouse, and they have outlasted the batteries I used before.  Only problem is that the positive terminal doesn’t quite stick out far enough to make a connection without modifying (extending) the spring contact point.",Scott,5.0,6,2020,2020-06,"Great product, slightly to short positive terminal These are great replacements for aaa batteries.  I use them in a Bluetooth mouse, and they have outlasted the batteries I used before.  Only problem is that the positive terminal doesn’t quite stick out far enough to make a connection without modifying (extending) the spring contact point."
14,B08267BBJT,AAA,2020-06-01,Verified Purchase,Great batteries.," Great value for the money.  I bought these because I'm tired of throwing away batteries and with all the work from home I've been doing, I needed a rechargeable option for my keyboard, mouse, and game controllers.  These batteries have been great- easy to use and charge.  The LED lights on the batteries indicating charge status is awesome and the 4 in 1 USB charging cable is great.  Overall I'm very happy with the purchase and so far the charge seems to be as good or better than my Duracell disposables.",Tammy C. Oshima-burton,5.0,6,2020,2020-06,"Great batteries. Great value for the money.  I bought these because I'm tired of throwing away batteries and with all the work from home I've been doing, I needed a rechargeable option for my keyboard, mouse, and game controllers.  These batteries have been great- easy to use and charge.  The LED lights on the batteries indicating charge status is awesome and the 4 in 1 USB charging cable is great.  Overall I'm very happy with the purchase and so far the charge seems to be as good or better than my Duracell disposables."
15,B08267BBJT,AAA,2020-05-29,Verified Purchase,Portable / rechargeable / ready to use," Great product, use it for my head lamp.",Charles Woody,5.0,5,2020,2020-05,"Portable / rechargeable / ready to use Great product, use it for my head lamp."
16,B08267BBJT,AAA,2020-05-26,Verified Purchase,I like these.," Very convenient charge. If you're anything like me a frequently forget to turn your noise cancelling headphones off, having rechargeable batteries is v nice.",Amazon Customer,5.0,5,2020,2020-05,"I like these. Very convenient charge. If you're anything like me a frequently forget to turn your noise cancelling headphones off, having rechargeable batteries is v nice."
17,B08267BBJT,AAA,2020-05-19,Verified Purchase,Good for low drain devices," Should be better in long run, but nimi batteries last a lot longer but only have 1.2v these have a true 1.5v",MrNoNameMan?,5.0,5,2020,2020-05,"Good for low drain devices Should be better in long run, but nimi batteries last a lot longer but only have 1.2v these have a true 1.5v"
18,B08268F6XN,AA,2020-05-06,Verified Purchase,Convenient for keeping wireless devices from having downtime.," I really like these. I haven't been able to test them long term yet, but these are extremely convenient for cycling batteries through my wireless Apple keyboard and mouse. They last just as long as any other battery I've used. I really have no complaints, which isn't something I can say for everything I've purchased during quarantine boredom Amazon shopping.",Clint G,5.0,5,2020,2020-05,"Convenient for keeping wireless devices from having downtime. I really like these. I haven't been able to test them long term yet, but these are extremely convenient for cycling batteries through my wireless Apple keyboard and mouse. They last just as long as any other battery I've used. I really have no complaints, which isn't something I can say for everything I've purchased during quarantine boredom Amazon shopping."
19,B08267BBJT,AAA,2020-04-26,Verified Purchase,Will buy again," Quick charge - use for kids Xbox controllers, they can tell when fully charged",Tbear44m,5.0,4,2020,2020-04,"Will buy again Quick charge - use for kids Xbox controllers, they can tell when fully charged"
20,B08267BBJT,AAA,2020-04-22,Verified Purchase,"Fancy tech, doesn't stay charged long.", I love the idea of rechargable and this was one of the few lithium ion ones that are rechargable individually by USB.  It was hard to compare to normal ni-cad rechargable but these seemed more environmentally friendly.  The form factor and convenience are real. The biggest disappointment is the length of time they last.  I use a generic Bluetooth mouse.  Previously I used non-rechargeable Amazon basic batteries. They lasted about 2-3 weeks being used about 9 hrs a day for work.  These batteries last about 2 days for the same use.  The other difference is the normal batteries would slowly die and the mouse cursor would slow down or glitch.  These die instantly. I guess that's the lithium ion experience.  I.e. like your cell phone.  Not sure I would buy these again for something that is more critical for power or harder to change the batteries.  I can't compare to other lithium ion.,Adam D,3.0,4,2020,2020-04,"Fancy tech, doesn't stay charged long. I love the idea of rechargable and this was one of the few lithium ion ones that are rechargable individually by USB.  It was hard to compare to normal ni-cad rechargable but these seemed more environmentally friendly.  The form factor and convenience are real. The biggest disappointment is the length of time they last.  I use a generic Bluetooth mouse.  Previously I used non-rechargeable Amazon basic batteries. They lasted about 2-3 weeks being used about 9 hrs a day for work.  These batteries last about 2 days for the same use.  The other difference is the normal batteries would slowly die and the mouse cursor would slow down or glitch.  These die instantly. I guess that's the lithium ion experience.  I.e. like your cell phone.  Not sure I would buy these again for something that is more critical for power or harder to change the batteries.  I can't compare to other lithium ion."
21,B08268F6XN,AA,2020-04-21,Not Verified,Quick Charging!," I have a couple of kids, and we use a ton of batteries with remote control cars and all the other kid stuff! We also camp a lot, so I have several headlamps that I am continually changing batteries in. These batteries are great! They charge so much faster than others that I have used and can charge them in my truck if need be! The USB charging is fantastic, and I am very happy with the product!",jeff earl,5.0,4,2020,2020-04,"Quick Charging! I have a couple of kids, and we use a ton of batteries with remote control cars and all the other kid stuff! We also camp a lot, so I have several headlamps that I am continually changing batteries in. These batteries are great! They charge so much faster than others that I have used and can charge them in my truck if need be! The USB charging is fantastic, and I am very happy with the product!"
22,B08267BBJT,AAA,2020-04-15,Verified Purchase,Made well and long lasting!," These batteries are worth it! Saving the planet, plus I know I’ll always have a fresh set of batteries for my precious tv remote! I also like how you can tell if they are fully charged or not by the red/green light. They seem to last just as long as normal batteries, if not a little longer.",Bailey N.,5.0,4,2020,2020-04,"Made well and long lasting! These batteries are worth it! Saving the planet, plus I know I’ll always have a fresh set of batteries for my precious tv remote! I also like how you can tell if they are fully charged or not by the red/green light. They seem to last just as long as normal batteries, if not a little longer."
23,B08268F6XN,AA,2020-04-08,Verified Purchase,Great for Xbox controllers!, I bought these as a replacement for my plug and play battery packs and I have really been impressed with the longevity of each charge.  Plan to buy another set for my other two controllers as well.,Brien Kennedy,5.0,4,2020,2020-04,Great for Xbox controllers! I bought these as a replacement for my plug and play battery packs and I have really been impressed with the longevity of each charge.  Plan to buy another set for my other two controllers as well.
24,B08267BBJT,AAA,2020-03-30,Verified Purchase,Beware! My order was incomplete," The batteries arrived, but without the advertised charging unit. Doesn't do any good to have rechargeable batteries without the charger...  Hopefully, the company will see this, and do the right thing. If so, then I'll advise people that they did. Look for an update....3/30/2020W.",Waneiac,1.0,3,2020,2020-03,"Beware! My order was incomplete The batteries arrived, but without the advertised charging unit. Doesn't do any good to have rechargeable batteries without the charger...  Hopefully, the company will see this, and do the right thing. If so, then I'll advise people that they did. Look for an update....3/30/2020W."
25,B08267BBJT,AAA,2020-03-22,Verified Purchase,Great for everyday, Got this for my wireless keyboard and mouse. Works perfect. Charged quickly and was ready to go. Love the USB charging.,Kristin Milam,5.0,3,2020,2020-03,Great for everyday Got this for my wireless keyboard and mouse. Works perfect. Charged quickly and was ready to go. Love the USB charging.
26,B08267BBJT,AAA,2020-03-21,Verified Purchase,Strong thoughtful battery product," Great quality battery. Yes, it recharges but you won't need to all the time. I've been using these in: wireless freezer and refrigerator temperature sensors, OTC tens unit, flashlights and heated jacket. Really impressed witht the device's design and utility. Strong OTB fittings on one side and USB on the other. The adapter is clever device to have on my workbench too. I've been using these for a few months now and have no issues to report. I recommend",rmcconn2003,5.0,3,2020,2020-03,"Strong thoughtful battery product Great quality battery. Yes, it recharges but you won't need to all the time. I've been using these in: wireless freezer and refrigerator temperature sensors, OTC tens unit, flashlights and heated jacket. Really impressed witht the device's design and utility. Strong OTB fittings on one side and USB on the other. The adapter is clever device to have on my workbench too. I've been using these for a few months now and have no issues to report. I recommend"
27,B08268F6XN,AA,2020-03-03,Verified Purchase,Regular rechargeables work just the same, We purchased to use in some baby items where we felt regular rechargeable batteries weren't lasting very long because the devices are used so much. The description stated these Lithium ion batteries would last longer between charges than regular rechargeable batteries but we didn't see that was the case. The design is neat where each battery lights up during charging but you're not gaining any use spending the higher cost in these.,john mcfate,3.0,3,2020,2020-03,Regular rechargeables work just the same We purchased to use in some baby items where we felt regular rechargeable batteries weren't lasting very long because the devices are used so much. The description stated these Lithium ion batteries would last longer between charges than regular rechargeable batteries but we didn't see that was the case. The design is neat where each battery lights up during charging but you're not gaining any use spending the higher cost in these.
28,B08268F6XN,AA,2020-02-14,Verified Purchase,"Kind of pricey, but great batteries"," These batteries are great, so far I haven't had any problems with them, I've had them for about a month now, I will continue to use them and after some time passes, I will come back and edit this review to let everyone know how the batteries Fair after extensive use.",Leo,5.0,2,2020,2020-02,"Kind of pricey, but great batteries These batteries are great, so far I haven't had any problems with them, I've had them for about a month now, I will continue to use them and after some time passes, I will come back and edit this review to let everyone know how the batteries Fair after extensive use."
29,B08268F6XN,AA,2020-02-05,Verified Purchase,Awesome!," These are great! They recharge by USB, making it so convenient. And they come with a little carrying case too!",Renee,5.0,2,2020,2020-02,"Awesome! These are great! They recharge by USB, making it so convenient. And they come with a little carrying case too!"
30,B08267BBJT,AAA,2020-01-30,Verified Purchase,A fast recharging AAA battery with solid power, Got these to use for my headlamp which  I use almost daily and go through tons of alkaline batteries which are really useless when they are half way through the discharge.  These gave me over 2 hrs of bright white light continuous!.  The PaleBlue batteries are easy to recharge and mine did in under an hour.,lang,5.0,1,2020,2020-01,A fast recharging AAA battery with solid power Got these to use for my headlamp which  I use almost daily and go through tons of alkaline batteries which are really useless when they are half way through the discharge.  These gave me over 2 hrs of bright white light continuous!.  The PaleBlue batteries are easy to recharge and mine did in under an hour.
31,B08268F6XN,AA,2020-01-30,Verified Purchase,A very powerful AA Lithium Battery with a quick recharge cycle.," Looking for a AA battery with a straight line power discharge to end of charge of 4.5 volts and quick recharge time I decided to try these batteries.  They so far have exceeded my expectations. Using them in an acoustic electric guitar pre amplifier I have gotten up to 5 hrs and voltage has only dropped to 4.4 Volts. With power of 2.25 Watt Hours and 1560 mAh along with sustained voltage to to end of charge, they have by far exceeded my expectations over any alkaline I have used. I am buying more as backups and to replace many other alkalines",lang,5.0,1,2020,2020-01,"A very powerful AA Lithium Battery with a quick recharge cycle. Looking for a AA battery with a straight line power discharge to end of charge of 4.5 volts and quick recharge time I decided to try these batteries.  They so far have exceeded my expectations. Using them in an acoustic electric guitar pre amplifier I have gotten up to 5 hrs and voltage has only dropped to 4.4 Volts. With power of 2.25 Watt Hours and 1560 mAh along with sustained voltage to to end of charge, they have by far exceeded my expectations over any alkaline I have used. I am buying more as backups and to replace many other alkalines"
32,B08268F6XN,AA,2020-01-25,Verified Purchase,Love these Rechargeable Batteries, Love these batteries! We've been trying to move away from traditional batteries and this is exactly what we've been looking for.I like how easy they are to charge (fully charged in a couple hours) and use. The covering is smooth and the product is sleek and super easy to use.These batteries seem to power things brighter than our old batteries too. I love the small charging port (the top twists to keep out dust while using or storing) and the red and green light ring that lets you know if they're charged or not.I definitely plan on buying more of these to phase our old batteries out completely. I highly recommend!!,Trisha C.,5.0,1,2020,2020-01,Love these Rechargeable Batteries Love these batteries! We've been trying to move away from traditional batteries and this is exactly what we've been looking for.I like how easy they are to charge (fully charged in a couple hours) and use. The covering is smooth and the product is sleek and super easy to use.These batteries seem to power things brighter than our old batteries too. I love the small charging port (the top twists to keep out dust while using or storing) and the red and green light ring that lets you know if they're charged or not.I definitely plan on buying more of these to phase our old batteries out completely. I highly recommend!!
33,B08268F6XN,AA,2020-01-25,Verified Purchase,Want to like them.," I ordered with high hopes, and first set came with one battery that didn't hold a charge.  The others that did charged rather quickly (about 2 hours) and I used a set in my Xbox One controller.  It lasted about that same time as regular batteries, which is awesome.  Had to send those back, as a replacement was sent to me because of the one defective battery.  I kept the two that I knew worked well, and took two others as a replacement and sent the old ones back. The two original are still working fine (on second charge and still lasting just as long), but I received yet another dud.  This time, the battery seems to charge (I receive a green light indicating full charge), but it conks out after a few minutes. So, at this time, it seems the batteries are unreliable, which is a shame, because when they work, they seem to work really well.  But at this time, it seems to be a gamble whether you get 4 good batteries, or just a couple and a couple of duds. As it is now, I have to send all 4 back for a refund (they won't replace them this time).  I really want to like these batteries.  There are other AA USB charging batteries out there, maybe I'll have better luck with them.",J. Kaufman,2.0,1,2020,2020-01,"Want to like them. I ordered with high hopes, and first set came with one battery that didn't hold a charge.  The others that did charged rather quickly (about 2 hours) and I used a set in my Xbox One controller.  It lasted about that same time as regular batteries, which is awesome.  Had to send those back, as a replacement was sent to me because of the one defective battery.  I kept the two that I knew worked well, and took two others as a replacement and sent the old ones back. The two original are still working fine (on second charge and still lasting just as long), but I received yet another dud.  This time, the battery seems to charge (I receive a green light indicating full charge), but it conks out after a few minutes. So, at this time, it seems the batteries are unreliable, which is a shame, because when they work, they seem to work really well.  But at this time, it seems to be a gamble whether you get 4 good batteries, or just a couple and a couple of duds. As it is now, I have to send all 4 back for a refund (they won't replace them this time).  I really want to like these batteries.  There are other AA USB charging batteries out there, maybe I'll have better luck with them."
34,B08268F6XN,AA,2020-01-23,Verified Purchase,Easy Charging, Easy charging via any USB-A charger.,arpch01,4.0,1,2020,2020-01,Easy Charging Easy charging via any USB-A charger.
35,B08268F6XN,AA,2020-01-18,Verified Purchase,Strong and well built lithium ion rechargable battery," Always looking for stronger rechargable batteries for my tens unit. Typical lithium ion rechargable battery is drained after 3 hours. These batteries last about 5 hours. I've only been using them for a week. Can't wait to see how they hold up over time. Cool package, case, USB charger chord and OTB plug into the side of the battery, which is well built and rigid!",rmcconn2003,5.0,1,2020,2020-01,"Strong and well built lithium ion rechargable battery Always looking for stronger rechargable batteries for my tens unit. Typical lithium ion rechargable battery is drained after 3 hours. These batteries last about 5 hours. I've only been using them for a week. Can't wait to see how they hold up over time. Cool package, case, USB charger chord and OTB plug into the side of the battery, which is well built and rigid!"
36,B079JFK22D,AA,2020-08-20,Verified Purchase,cool, different but so cool,Sharon Hayworth,5.0,8,2020,2020-08,cool different but so cool
37,B079JFK22D,AA,2020-08-18,Verified Purchase,I only got half what I paid for," I thought I ordered 4 usb rechargeable AA batteries. I ended up getting two rechargeable, and two blue no name lithium batteries. One of the blue no name batteries was also dead. I don’t know what kind of deal this is. Not what I paid for.",Christopher Dias,1.0,8,2020,2020-08,"I only got half what I paid for I thought I ordered 4 usb rechargeable AA batteries. I ended up getting two rechargeable, and two blue no name lithium batteries. One of the blue no name batteries was also dead. I don’t know what kind of deal this is. Not what I paid for."
38,B079JFK22D,AA,2020-08-09,Verified Purchase,Charging time faster than expected, Charged up just fine,William B.,5.0,8,2020,2020-08,Charging time faster than expected Charged up just fine
39,B079JFK22D,AA,2020-08-06,Verified Purchase,Don't know if these Batts are working right," The company stated..... ""ONE HOUR CHARGING TIME - Fully charged in less than 2 hours, more efficient and energy-saving. LED indicator will turn on red when in charge, and turn out after fully charged"" Mine flash blue for about 2 hrs. And then turn solid blue after that. Maybe defective? Ran my scanner for about 6 hrs. But so far I have seen no red light.Later..... I found out 1 of the batteries is defective, guess I'm returning them.",Radio53,1.0,8,2020,2020-08,"Don't know if these Batts are working right The company stated..... ""ONE HOUR CHARGING TIME - Fully charged in less than 2 hours, more efficient and energy-saving. LED indicator will turn on red when in charge, and turn out after fully charged"" Mine flash blue for about 2 hrs. And then turn solid blue after that. Maybe defective? Ran my scanner for about 6 hrs. But so far I have seen no red light.Later..... I found out 1 of the batteries is defective, guess I'm returning them."
40,B079JFK22D,AA,2020-07-27,Verified Purchase,Poor quality. Unable to hold charge., Poor quality. Broke on second recharge. First recharge did not last longer. Better to look for quality products from renowned company.,FNU SHANTANU,1.0,7,2020,2020-07,Poor quality. Unable to hold charge. Poor quality. Broke on second recharge. First recharge did not last longer. Better to look for quality products from renowned company.
41,B079JFK22D,AA,2020-07-24,Verified Purchase,14g. The weight is great! My wrist is happier., I got these to lighten my mouse. I also got their AAA...less stress on my hand. My mouse requires 2 AAsSo far so good!,J Esky,5.0,7,2020,2020-07,14g. The weight is great! My wrist is happier. I got these to lighten my mouse. I also got their AAA...less stress on my hand. My mouse requires 2 AAsSo far so good!
42,B079JFK22D,AA,2020-07-17,Verified Purchase,Love them," These are simoly great, I use them on everything, no issues, just use, recharge, re-use.",Ricardo Cruz,5.0,7,2020,2020-07,"Love them These are simoly great, I use them on everything, no issues, just use, recharge, re-use."
43,B079JFK22D,AA,2020-07-12,Verified Purchase,Purchased many times. Wish they had been around sooner, These are one of my favorite things that I’ve bought recently. I wish they were around sooner. They combine the convenience of old-school batteries and the ease of USB charging. Very reliable. Futuristic item. Everyone I show them to loves them. Highly recommend.,A Q,5.0,7,2020,2020-07,Purchased many times. Wish they had been around sooner These are one of my favorite things that I’ve bought recently. I wish they were around sooner. They combine the convenience of old-school batteries and the ease of USB charging. Very reliable. Futuristic item. Everyone I show them to loves them. Highly recommend.
44,B079JFK22D,AA,2020-07-11,Verified Purchase,Trade charge life for recharge ease," The batteries do not last as long on a single charge as an alkaline, but they are VERY easily recharged.  Great for my wireless keyboard and mouse.",DSH,4.0,7,2020,2020-07,"Trade charge life for recharge ease The batteries do not last as long on a single charge as an alkaline, but they are VERY easily recharged.  Great for my wireless keyboard and mouse."
45,B079JFK22D,AA,2020-07-03,Verified Purchase,I have reorder more, We are pleased with this product and ordered more,Drevik,5.0,7,2020,2020-07,I have reorder more We are pleased with this product and ordered more
46,B079JFK22D,AA,2020-07-01,Verified Purchase,Great!," They work great and charge quickly. Definitely buying more, already bought a 2nd set. Great for remotes and last for a while.",H.B.,5.0,7,2020,2020-07,"Great! They work great and charge quickly. Definitely buying more, already bought a 2nd set. Great for remotes and last for a while."
47,B079JFK22D,AA,2020-06-30,Verified Purchase,Better than I expected -- WAIT! Update!," Update:  After leaving review, My right controller went dead a few weeks later. I switched out the batteries, and it still didn't work. I reset my headset, figuring it must be a hardware issue, but discovered that one of the rechargeable batteries does not recharge. So I have one useless battery. However, the rest are fine. I will update again if I have more issues, but I'm dropping my review to three stars... one for each useful battery.I read the reviews, so I've been super careful removing the tops so they do not break. No problems for me at all.  All four batteries came charged. I popped them into my Oculus Quest controllers, and they have gone through three gaming sessions so far without any issues, and no need to change them out yet. I will leave this review five stars, unless I find that they do not recharge after the initial use. Right now, though, I am quite tickled with them.",Amazon Customer,3.0,6,2020,2020-06,"Better than I expected -- WAIT! Update! Update:  After leaving review, My right controller went dead a few weeks later. I switched out the batteries, and it still didn't work. I reset my headset, figuring it must be a hardware issue, but discovered that one of the rechargeable batteries does not recharge. So I have one useless battery. However, the rest are fine. I will update again if I have more issues, but I'm dropping my review to three stars... one for each useful battery.I read the reviews, so I've been super careful removing the tops so they do not break. No problems for me at all.  All four batteries came charged. I popped them into my Oculus Quest controllers, and they have gone through three gaming sessions so far without any issues, and no need to change them out yet. I will leave this review five stars, unless I find that they do not recharge after the initial use. Right now, though, I am quite tickled with them."
48,B079JFK22D,AA,2020-06-30,Verified Purchase,Great," These are pretty good. I used them for Xbox controller and last longer than the battery pack. Depends on how much you use them but for me it can last from 4 days to a whole week. But couldnt find more to order, I think there are another brand or color.",Scorpio90G,5.0,6,2020,2020-06,"Great These are pretty good. I used them for Xbox controller and last longer than the battery pack. Depends on how much you use them but for me it can last from 4 days to a whole week. But couldnt find more to order, I think there are another brand or color."
49,B079JFK22D,AA,2020-06-30,Verified Purchase,Rechargeable batteries with UBS plug in the battery is very convenient.," I use these batteries in my remotes, pc mice, and a battery operated amplifier.  Very convenient, and definitely beats having to constantly buy batteries.  Recharges quickly.",Gary W. Baker,5.0,6,2020,2020-06,"Rechargeable batteries with UBS plug in the battery is very convenient. I use these batteries in my remotes, pc mice, and a battery operated amplifier.  Very convenient, and definitely beats having to constantly buy batteries.  Recharges quickly."
